,Date,Open,High,Low,Close,Adj Close,Volume
1009,2018-12-12,20.32,21.02,19.709999,20.48,20.48,100340700
1010,2018-12-13,20.629998999999998,20.870001000000002,19.76,19.860001,19.860001,88108300
1011,2018-12-14,19.58,20.700001,19.52,19.9,19.9,84713600
1012,2018-12-17,20.01,20.02,18.639999,18.83,18.83,115437900
1013,2018-12-18,19.15,19.84,18.879998999999998,19.5,19.5,101512900
1014,2018-12-19,19.440001000000002,19.719998999999998,18.0,18.16,18.16,120644500
1015,2018-12-20,18.110001,18.860001,17.34,17.940001000000002,17.940001000000002,119394500
1016,2018-12-21,18.120001000000002,18.34,16.76,16.93,16.93,132246000
1017,2018-12-24,16.52,17.219998999999998,16.370001000000002,16.65,16.65,62933100
1018,2018-12-26,16.879998999999998,17.91,16.030001000000002,17.9,17.9,108811800
1019,2018-12-27,17.43,17.74,16.440001000000002,17.49,17.49,111373000
1020,2018-12-28,17.530001000000002,18.309998999999998,17.139999,17.82,17.82,109214400
1021,2018-12-31,18.15,18.51,17.85,18.459999,18.459999,84732200
1022,2019-01-02,18.01,19.0,17.98,18.83,18.83,87148700
1023,2019-01-03,18.42,18.68,16.940001000000002,17.049999,17.049999,117277600
1024,2019-01-04,17.549999,19.07,17.43,19.0,19.0,111878600
1025,2019-01-07,19.440001000000002,20.68,19.0,20.57,20.57,107157000
1026,2019-01-08,21.190001000000002,21.200001,19.68,20.75,20.75,121271000
1027,2019-01-09,20.889999,21.440001000000002,20.07,20.190001000000002,20.190001000000002,163944100
1028,2019-01-10,19.76,19.83,18.9,19.74,19.74,115629400
1029,2019-01-11,19.469998999999998,20.35,19.190001000000002,20.27,20.27,85110800
1030,2019-01-14,19.959999,20.620001000000002,19.75,20.23,20.23,71350200
1031,2019-01-15,20.440001000000002,20.68,20.26,20.379998999999998,20.379998999999998,62785800
1032,2019-01-16,20.4,20.540001,19.709999,19.73,19.73,70849300
1033,2019-01-17,19.49,20.51,19.02,20.25,20.25,85018400
1034,2019-01-18,20.370001000000002,21.049999,20.02,20.77,20.77,88131000
1035,2019-01-22,20.48,20.92,19.700001,19.76,19.76,78513700
1036,2019-01-23,20.030001000000002,20.48,19.549999,19.799999,19.799999,77811300
1037,2019-01-24,20.059998999999998,21.01,20.040001,20.85,20.85,97433400
1038,2019-01-25,20.99,22.030001000000002,20.790001,21.93,21.93,110239500
1039,2019-01-28,20.32,21.01,20.02,20.18,20.18,135164100
1040,2019-01-29,20.26,20.389999,19.049999,19.25,19.25,131202500
1041,2019-01-30,21.49,23.129998999999998,21.370001000000002,23.09,23.09,211421200
1042,2019-01-31,23.02,25.139999,22.83,24.41,24.41,182575600
1043,2019-02-01,24.610001,24.84,24.07,24.51,24.51,105356200
1044,2019-02-04,24.43,24.66,24.07,24.129998999999998,24.129998999999998,70843800
1045,2019-02-05,23.42,23.860001,22.98,23.309998999999998,23.309998999999998,122226000
1046,2019-02-06,23.629998999999998,24.139999,23.219998999999998,23.26,23.26,78684300
1047,2019-02-07,22.99,23.219998999999998,22.32,22.67,22.67,86723900
1048,2019-02-08,22.33,23.280001000000002,22.27,23.049999,23.049999,78129300
1049,2019-02-11,23.049999,23.280001000000002,22.66,22.959999,22.959999,60578700
1050,2019-02-12,23.43,23.559998999999998,22.75,22.82,22.82,67595400
1051,2019-02-13,22.98,23.24,22.709999,22.85,22.85,57544200
1052,2019-02-14,22.74,23.370001000000002,22.59,23.129998999999998,23.129998999999998,64441200
1053,2019-02-15,23.58,24.049999,23.200001,23.68,23.68,78644100
1054,2019-02-19,23.629998999999998,24.41,23.610001,23.950001,23.950001,57517900
1055,2019-02-20,24.139999,24.370001000000002,23.9,23.950001,23.950001,57091600
1056,2019-02-21,24.040001,24.33,23.85,23.92,23.92,49608200
1057,2019-02-22,24.049999,24.360001,23.879998999999998,24.360001,24.360001,52650700
1058,2019-02-25,25.01,25.52,24.68,24.709999,24.709999,63221000
1059,2019-02-26,24.65,24.719998999999998,24.15,24.209999,24.209999,48470100
1060,2019-02-27,24.110001,24.23,23.209999,23.48,23.48,62649300
1061,2019-02-28,23.209999,23.67,23.110001,23.530001000000002,23.530001000000002,39384900
